cycle,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted
2020,Wisconsin,6/18/2020,Joseph R. Biden Jr.,48.25671,48.8631
2020,West Virginia,6/18/2020,Joseph R. Biden Jr.,31.0042,31.65964
2020,Washington,6/18/2020,Joseph R. Biden Jr.,57.37708,58.30696
2020,Virginia,6/18/2020,Joseph R. Biden Jr.,49.52098,50.41865
2020,Utah,6/18/2020,Joseph R. Biden Jr.,37.26361,38.03329
2020,Texas,6/18/2020,Joseph R. Biden Jr.,45.65521,46.41745
2020,Tennessee,6/18/2020,Joseph R. Biden Jr.,40.0454,40.64982
2020,South Carolina,6/18/2020,Joseph R. Biden Jr.,42.083,42.45341
2020,Pennsylvania,6/18/2020,Joseph R. Biden Jr.,48.23082,48.86331
2020,Oklahoma,6/18/2020,Joseph R. Biden Jr.,34.86883,35.12689
2020,Ohio,6/18/2020,Joseph R. Biden Jr.,47.62481,48.28345
2020,North Dakota,6/18/2020,Joseph R. Biden Jr.,37.96948,38.63231
2020,North Carolina,6/18/2020,Joseph R. Biden Jr.,46.96668,47.47533
2020,New York,6/18/2020,Joseph R. Biden Jr.,58.12322,58.87115
2020,New Mexico,6/18/2020,Joseph R. Biden Jr.,53.48025,54.01637
2020,New Jersey,6/18/2020,Joseph R. Biden Jr.,55.11724,55.82426
2020,New Hampshire,6/18/2020,Joseph R. Biden Jr.,49.12867,49.7385
2020,Nevada,6/18/2020,Joseph R. Biden Jr.,47.54258,48.06821
2020,National,6/18/2020,Joseph R. Biden Jr.,50.04775,50.26003
2020,NE-2,6/18/2020,Joseph R. Biden Jr.,49.47406,50.66747
2020,Montana,6/18/2020,Joseph R. Biden Jr.,36.88453,37.48702
2020,Missouri,6/18/2020,Joseph R. Biden Jr.,43.11983,43.49059
2020,Mississippi,6/18/2020,Joseph R. Biden Jr.,40.42479,40.72172
2020,Minnesota,6/18/2020,Joseph R. Biden Jr.,49.7381,50.69426
2020,Michigan,6/18/2020,Joseph R. Biden Jr.,50.39375,50.76437
2020,Massachusetts,6/18/2020,Joseph R. Biden Jr.,62.70059,63.30758
2020,Maryland,6/18/2020,Joseph R. Biden Jr.,59.57714,60.1836
2020,Maine,6/18/2020,Joseph R. Biden Jr.,52.10394,53.12194
2020,Kentucky,6/18/2020,Joseph R. Biden Jr.,38.10664,38.51322
2020,Kansas,6/18/2020,Joseph R. Biden Jr.,40.99691,41.51848
2020,Iowa,6/18/2020,Joseph R. Biden Jr.,44.89793,45.45778
2020,Indiana,6/18/2020,Joseph R. Biden Jr.,39.05167,39.76922
2020,Georgia,6/18/2020,Joseph R. Biden Jr.,46.39564,46.88838
2020,Florida,6/18/2020,Joseph R. Biden Jr.,49.03159,49.57545
2020,Delaware,6/18/2020,Joseph R. Biden Jr.,55.90744,56.25993
2020,Connecticut,6/18/2020,Joseph R. Biden Jr.,54.4432,55.34378
2020,Colorado,6/18/2020,Joseph R. Biden Jr.,52.95286,54.01932
2020,California,6/18/2020,Joseph R. Biden Jr.,60.28155,60.86151
2020,Arkansas,6/18/2020,Joseph R. Biden Jr.,45,44.99907
2020,Arizona,6/18/2020,Joseph R. Biden Jr.,47.05415,47.53903
2020,Alabama,6/18/2020,Joseph R. Biden Jr.,38.44426,38.80234
2020,Wisconsin,6/18/2020,Donald Trump,43.38269,42.35576
2020,West Virginia,6/18/2020,Donald Trump,66.00198,63.44621
2020,Washington,6/18/2020,Donald Trump,35.31063,33.65471
2020,Virginia,6/18/2020,Donald Trump,41.88563,39.83041
2020,Utah,6/18/2020,Donald Trump,48.24153,46.42399
2020,Texas,6/18/2020,Donald Trump,48.3938,47.12938
2020,Tennessee,6/18/2020,Donald Trump,53.50913,52.09914
2020,South Carolina,6/18/2020,Donald Trump,51.95971,50.34721
2020,Pennsylvania,6/18/2020,Donald Trump,44.96352,43.6773
2020,Oklahoma,6/18/2020,Donald Trump,58.10161,56.74374
2020,Ohio,6/18/2020,Donald Trump,47.08501,45.67946
2020,North Dakota,6/18/2020,Donald Trump,55.91752,53.20243
2020,North Carolina,6/18/2020,Donald Trump,45.43065,44.60005
2020,New York,6/18/2020,Donald Trump,33.52542,32.10621
2020,New Mexico,6/18/2020,Donald Trump,42.49849,40.78728
2020,New Jersey,6/18/2020,Donald Trump,36.32995,34.65511
2020,New Hampshire,6/18/2020,Donald Trump,44.90304,42.50136
2020,Nevada,6/18/2020,Donald Trump,42.38694,40.08915
2020,National,6/18/2020,Donald Trump,41.6788,41.39189
2020,NE-2,6/18/2020,Donald Trump,43.4875,42.00636
2020,Montana,6/18/2020,Donald Trump,50.53946,48.49776
2020,Missouri,6/18/2020,Donald Trump,50.05622,48.47021
