Error/Needs Review,record_id,policy_id,province,recorded_date,date_updated,date_start,date_end,policy_type,entry_type,event_description,type,type_sub_cat,type_text,correct_type,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,link,ISO_A3,ISO_A2
,7271532An,7271532,New Hampshire,2020-05-24T18:53:52Z,2020-05-24,2020-04-28,2020-07-15,,new_entry,"On April 28th, New Hampshire governor announced that all vacant positions within the executive branch will stay vacant unless specified governor instructions until the end of the emergency order. Effective immediately",Restriction and Regulation of Government Services,All essential government services regulated,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-37.pdf,USA,US
,9036698An,9036698,Missouri,2020-06-30T08:28:05Z,2020-06-30,2020-05-03,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"Missouri Capitol and state offices are allowed to open with conditions starting May 3. 

Any individuals entering buildings will be screened, and social distancing will be enforced in lobbies.",Restriction and Regulation of Government Services,All essential government services regulated,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://fox2now.com/news/missouri/new-restrictions-planned-as-missouri-state-offices-reopen/,USA,US
,9675782Ao,9675782,Missouri,2020-06-30T08:24:01Z,2020-06-30,2020-03-24,2020-05-03,Fewer Restrictions and/or Less Supply,new_entry,"Missouri state Capitol and other state offices closed to the public on March 24. 

Policy ended May 3.",Restriction and Regulation of Government Services,All non-essential government services regulated,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://themissouritimes.com/missouri-capitol-state-offices-shutter-as-positive-coronavirus-cases-rise/,USA,US
,751507Ap,751507,New Hampshire,2020-05-24T18:38:35Z,2020-05-24,2020-04-24,2020-07-15,,new_entry,"On April 24th, New Hampshire governor announced that the state will be 'Ensuring Worker's Compensation coverage for New Hampshire first responders exposed to COVID-19'. Effective immediately, until the end of the emergency orders.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.governor.nh.gov/sites/g/files/ehbemt336/files/documents/emergency-order-36.pdf,USA,US
,4442188Ap,4442188,California,2020-06-03T12:50:11Z,2020-06-03,2020-05-14,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"United States, California governor's ""Resilience Roadmap"" enters second phase, providing industry-specific guidance for California businesses, issued by the California State Occupational Safety and Health Administration (CAL/OSHA) classifying COVID-19 as a workplace hazard and detailing specific safety benchmarks and practices that must be met in order to re-open businesses that have been restricted as a result of COVID-19, starting May 14, 2020.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Fines,https://www.dir.ca.gov/dosh/coronavirus/General-Industry.html,USA,US
,1296665Ap,1296665,Kansas,2020-06-03T17:08:40Z,2020-06-03,2020-05-26,2020-06-30,,new_entry,"On May 26th, Kansas Gov. Kelly signed a new Executive Order providing temporary relief from certain unemployment insurance requirements.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-38-Unempl.-Ins.-Waiting-week.pdf,USA,US
,8311212Ap,8311212,Kansas,2020-06-03T17:41:55Z,2020-06-03,2020-05-26,2020-06-30,,new_entry,"On May 26th, Kansas Gov. Kelly signed a new Executive Order ensuring that Kansans who provide important services can continue their work without regulatory interruptions.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://governor.kansas.gov/wp-content/uploads/2020/05/EO-20-39-Prof.-licenses-ext..pdf,USA,US
,8131156Ap,8131156,Indiana,2020-06-04T21:01:49Z,2020-06-04,2020-05-01,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,The business will reopen by 5 stages after May 1st in Indiana.,Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory with Legal Penalties (Jail Time),https://www.in.gov/gov/files/Executive%20Order%2020-26%20Roadmap%20to%20Reopen%20Indiana.pdf,USA,US
,1257213Ap,250577,Minnesota,2020-06-18T18:13:08Z,2020-06-18,2020-05-27,2020-07-15,Fewer Restrictions and/or Less Supply,update,"On May 27th, the Governor of Minnesota issued an executive order allowing critical businesses to function normally, and instructing non-essential businesses to open with restrictions.",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://www.leg.state.mn.us/archive/execorders/20-56.pdf,USA,US
,2041769Ap,2041769,Missouri,2020-06-19T10:20:52Z,2020-06-19,2020-05-04,2020-06-15,Fewer Restrictions and/or Less Supply,new_entry,"As part of Phase 1 of the ""Show Me Strong Recovery Plan,"" Missouri (U.S. state) is allowing all businesses to reopen, with 6ft social distancing and occupancy requirements (Stores under 10,000 sq ft in area must maintain 25% occupancy, stores over 10,000 sq ft in area must maintain 10% occupancy).",Restriction and Regulation of Businesses,All or unspecified essential businesses,NA,original,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.stlmag.com/news/what-is-the-show-me-strong-recovery-plan/,USA,US
