Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
ID,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,1687809,10,777,,,,366,6.9,3.82,10.46,0,247,4.2,1.11,8.18,0,362,3.4,1.68,5.53,0,398,3.1,1.51,5.77,0,587,5.2,2.83,8.58,0,985,4.2,2.64,6.02,0,70888,44558,101606,false,false
IL,"Oct 7 - Oct 13, 2020",6,Statewide,Statewide,12821497,246,3.5,1.49,5.96,0,244,8.6,5.2,12.31,0,245,3.6,1.48,6.28,0,244,4.1,1.8,7.2,0,426,4.4,2.19,6.69,0,553,7.1,4.47,9.75,0,979,5.8,4.14,7.54,0,743647,530810,966741,true,false
IN,"Oct 7 - Oct 20, 2020",6,Statewide,Statewide,6637426,18,777,,,,681,3.4,1.73,5.21,0,263,4.5,1.2,9.51,0,261,1.3,0.12,2.75,0,305,1.6,0.22,3.72,0,918,7.5,3.03,13.44,0,1223,4.6,2.27,7.83,0,305322,150670,519710,true,false
KS,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,2908776,239,7.6,3.85,11.44,0,242,9.1,5.13,13.39,0,242,4.1,1.57,6.99,0,244,4.6,1.84,7.83,0,433,8.1,5.23,11.37,0,534,6.1,3.79,8.52,0,967,7.1,5.16,9.18,0,206523,150093,267026,true,false
KY,"Oct 7 - Oct 16, 2020",6,Statewide,Statewide,4440204,39,777,,,,376,4.8,2.46,7.1,0,288,3.7,1.52,6.23,0,277,1.4,0.24,3.13,0,429,2.3,0.8,4.05,0,551,4.3,2.38,6.68,0,980,3.3,1.95,4.72,0,146527,86584,209578,true,false
LA,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,4663616,245,16.7,11.88,22.52,0,245,9.2,5.08,13.91,0,245,6,2.79,9.43,0,245,5,2.58,8.37,0,376,8.9,5.62,13.09,0,604,10.7,7.64,13.87,0,980,9.8,7.36,12.46,0,457034,343242,581087,true,false
MA,"Oct 9 - Oct 13, 2020",6,Statewide,Statewide,6830193,243,3,0.79,5.69,0,245,2.2,0.43,4.42,0,248,3.2,1.17,5.81,0,243,2.1,0.37,4.25,0,433,2.4,0.78,4.28,0,546,2.7,1.24,4.36,0,979,2.6,1.5,3.88,0,177585,102453,265011,true,false
MD,"Oct 10 - Oct 21, 2020",6,Statewide,Statewide,6003435,40,777,,,,187,18.9,13.19,25.63,0,205,6.6,3.2,10.52,0,195,3.8,1.41,6.94,0,357,15.2,10.89,20.46,0,270,7.8,3.76,12.98,0,627,11.4,8.27,14.84,0,684392,496484,890910,true,false
ME,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1332813,35,777,,,,379,0.5,0,1.41,1,255,1.1,0,2.98,1,314,0.9,0,2.71,1,367,0.8,0,1.93,1,616,0.5,0.09,1.09,0,983,0.6,0.16,1.25,0,7997,2133,16660,false,true
MI,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,9957488,244,4.2,1.71,7.51,0,245,3.6,1.24,6.23,0,245,2.1,0.34,4.4,0,245,2.3,0.39,4.73,0,456,3.1,1.56,5.1,0,523,3.3,1.59,5.08,0,979,3.2,1.96,4.55,0,318640,195167,453066,true,false
MN,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,5527358,97,7.4,2.49,13.35,0,358,8.9,5.13,12.5,0,287,6.8,3.53,10.93,0,242,4.6,1.74,8.33,0,419,7.3,4.24,11.22,0,565,7.6,5.08,10.42,0,984,7.5,5.36,10.01,0,414552,296266,553289,true,false
MO,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6090062,243,11.7,7.09,16.74,0,244,7.2,3.49,11.46,0,244,1.7,0,4.17,1,245,3.2,1.18,5.43,0,428,5.6,2.88,8.57,0,548,7.3,4.36,10.47,0,976,6.5,4.37,8.64,0,395854,266136,526181,true,true
MS,"Oct 5 - Oct 20, 2020",6,Statewide,Statewide,2988762,47,777,,,,307,17.2,12.11,23.17,0,309,8.4,5.19,12.3,0,309,5.4,2.57,8.99,0,391,10.9,5.75,16.91,0,581,15.2,9.91,20.91,0,972,13.1,9.4,17.24,0,391528,280944,515263,true,false
MT,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1041732,26,777,,,,207,3.2,0.92,6.02,0,180,3.4,1.16,6.44,0,175,2.7,0.4,5.85,0,240,3.4,0.85,7.22,0,348,3,1.16,5.08,0,588,3.2,1.57,5.01,0,33335,16355,52191,true,false
NC,"Oct 6 - Oct 19, 2020",6,Statewide,Statewide,10155624,249,2.9,0.81,5.22,0,248,3.5,0.94,6.36,0,249,3.1,1.07,5.74,0,249,4.6,2.04,7.66,0,428,4.1,1.75,6.69,0,567,2.8,1.43,4.47,0,995,3.5,2.05,5.04,0,355447,208190,511843,true,false
ND,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,752201,4,777,,,,22,777,,,,18,777,,,,11,777,,,,26,777,,,,29,777,,,,55,777,,,,,,,false,
NE,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,1904760,109,13.3,6.34,22.75,0,316,13,9,17.95,0,307,11.6,7.68,16.15,0,234,2.6,0.93,4.86,0,467,11.6,7.66,16.05,0,499,10.9,7.53,14.31,0,966,11.3,8.6,14.13,0,215238,163809,269143,true,false
NH,"Oct 9 - Oct 15, 2020",6,Statewide,Statewide,1343622,38,777,,,,270,0.5,0,1.77,1,291,2.2,0.67,4.17,0,381,0.6,0,1.94,1,396,0.7,0.03,1.63,0,584,0.9,0.28,1.7,0,980,0.8,0.31,1.42,0,10749,4165,19079,false,true
NJ,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,8881845,145,12.4,6.88,18.63,0,250,15,10.92,19.88,0,241,12,7.88,16.13,0,253,6.3,3.47,9.53,0,428,13.3,9.65,16.96,0,461,11.6,8.41,14.91,0,889,12.4,10.02,15.17,0,1101349,889961,1347376,true,false
NM,"Oct 6 - Oct 20, 2020",6,Statewide,Statewide,2092434,197,4,1.51,7.28,0,260,6.8,3.5,10.91,0,260,3.9,1.4,7.02,0,259,1.9,0.41,3.98,1,383,3.9,1.56,6.47,0,593,5.6,3.3,7.97,0,976,4.8,3.26,6.62,0,100437,68213,138519,true,true
NV,"Oct 6 - Oct 16, 2020",6,Statewide,Statewide,2922849,245,10.6,6.89,15,0,246,9.2,5.49,13.29,0,245,3.4,1.25,5.87,0,245,7.6,4.04,11.43,0,370,8.3,5.43,11.49,0,611,8,5.69,10.77,0,981,8.2,6.4,10.06,0,239674,187062,294039,true,false
NY,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,19618453,221,20.8,14.84,26.67,0,210,28.3,22.69,34.86,0,162,18,11.52,24.91,0,227,11,7.07,15.43,0,347,22.5,17.37,28.05,0,473,21.4,17.28,25.44,0,820,21.9,18.72,25.25,0,4296441,3672574,4953659,true,false
OH,"Oct 6 - Oct 22, 2020",6,Statewide,Statewide,11641879,121,2.4,0,5.83,1,284,1.2,0,2.87,1,273,1.9,0.37,4.03,0,302,2.1,0.49,4.08,0,467,1.8,0.63,3.32,0,513,1.7,0.49,3.19,0,980,1.8,0.94,2.75,0,209554,109434,320152,true,true
OK,"Oct 7 - Oct 14, 2020",6,Statewide,Statewide,3918137,245,5.3,2.46,8.9,0,244,10.9,5.85,15.84,0,245,4.3,1.72,7.1,0,246,5,2.09,8.06,0,408,8.2,4.79,11.83,0,572,6.6,3.92,9.47,0,980,7.4,5.08,9.71,0,289942,199041,380451,true,false
OR,"Oct 7 - Oct 19, 2020",6,Statewide,Statewide,4081943,46,777,,,,251,2.6,0.82,4.68,0,337,1.9,0.68,3.48,0,338,0.7,0,1.73,1,426,2,0.32,4.92,1,546,2.1,0.81,3.75,0,972,2.1,0.87,3.59,0,85721,35513,146542,true,true
PA,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,12791181,54,777,,,,527,14,11.05,17.1,0,231,13.7,9.06,19.05,0,134,1.1,0,2.61,1,703,14.9,12.14,18.13,0,243,6.1,2.77,10.64,0,946,10.5,8.39,13.16,0,1343074,1073180,1683319,true,true
PR,"Oct 5 - Oct 13, 2020",6,Statewide,Statewide,3386941,245,1.1,0,2.66,1,245,3.2,0.82,5.95,0,245,4.5,1.85,7.7,0,245,2.2,0.64,4.59,0,387,2.9,1.09,5.08,0,593,2.8,1.42,4.34,0,980,2.8,1.64,4.38,0,94834,55546,148348,true,true
RI,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,1056611,26,777,,,,309,3,1.03,5.21,0,217,5.1,2.19,8.49,0,208,0.4,0,1.49,1,338,2.7,1.15,4.42,0,422,2.2,0.94,3.69,0,760,2.4,1.43,3.54,0,25359,15110,37404,false,true
SC,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,4955925,82,9.1,2.97,16.49,0,247,9.8,6.21,13.94,0,344,7.3,4.43,10.52,0,358,2.9,1.35,4.88,0,432,4.9,2.28,8.3,0,599,10.9,7.23,14.79,0,1031,8,5.78,10.49,0,396474,286452,519877,true,false
SD,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,864289,3,777,,,,19,777,,,,5,777,,,,7,777,,,,21,777,,,,13,777,,,,34,777,,,,,,,false,
TN,"Oct 7 - Oct 15, 2020",6,Statewide,Statewide,6651089,243,11,6.21,15.8,0,252,12.5,8.28,16.89,0,250,7.4,3.91,11.17,0,250,4.4,1.66,7.48,0,425,9.4,5.82,13.2,0,570,10.3,7.35,13.55,0,995,9.9,7.49,12.26,0,658458,498167,815424,true,false
TX,"Oct 5 - Oct 19, 2020",6,Statewide,Statewide,27885195,246,13.8,9.71,18.65,0,250,9.1,5.53,13.49,0,247,12.2,7.55,17.99,0,249,5.1,2.48,8.23,0,453,10.9,7.47,15.22,0,539,9.9,7.05,13.01,0,992,10.4,8.15,12.98,0,2900060,2272643,3619498,true,false
UT,"Oct 5 - Oct 21, 2020",6,Statewide,Statewide,3045350,80,11.5,4.43,19.15,0,333,8.9,5.91,12.22,0,321,8,4.94,11.2,0,244,4.2,1.53,7.5,0,427,8.6,4.8,12.85,0,551,9.5,6.03,13.27,0,978,9.1,6.3,11.99,0,277127,191857,365137,true,false
VA,"Oct 9 - Oct 21, 2020",6,Statewide,Statewide,8413774,19,777,,,,260,6.5,2.95,10.73,0,253,4.7,1.45,8.39,0,332,2.4,0.52,4.7,0,304,4.7,1.84,8.39,0,560,3.6,1.9,5.35,0,864,4.1,2.41,6.2,0,344965,202772,521654,false,false
VT,"Oct 9 - Oct 22, 2020",6,Statewide,Statewide,624977,16,777,,,,209,0,0,1.75,2,137,0,0,2.66,2,110,2.5,0,6.74,1,164,0.9,0,2.48,1,308,0,0,1.19,2,472,0.4,0,1.22,1,2500,0,7625,false,true
WA,"Oct 7 - Oct 21, 2020",6,Statewide,Statewide,7294336,136,5,0.87,10.05,0,241,0.5,0,1.82,1,353,1.1,0.22,2.52,1,244,2.9,0.8,5.44,0,449,1.4,0.39,2.85,0,525,2.6,0.88,4.93,0,974,2,0.91,3.21,0,145887,66378,234148,true,true
WI,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,5778394,58,777,,,,299,6.3,3.7,9.87,0,281,6.6,3.47,9.88,0,335,2.5,0.45,4.85,0,472,5.9,3.51,8.66,0,501,4.1,1.93,6.68,0,973,5,3.41,6.98,0,288920,197043,403332,true,false
WV,"Oct 7 - Oct 22, 2020",6,Statewide,Statewide,1829054,39,777,,,,414,3.9,1.85,6.38,0,334,2.1,0.38,4.29,0,337,1.2,0,3.21,1,448,2.5,0.91,4.32,0,675,2,0.91,3.22,0,1124,2.2,1.29,3.3,0,40239,23595,60359,false,true
WY,"Oct 8 - Oct 21, 2020",6,Statewide,Statewide,581836,5,777,,,,48,777,,,,48,777,,,,22,777,,,,60,777,,,,63,777,,,,123,2.6,0.46,5.78,1,15128,2676,33630,false,true
