id,zip,always,frequently,sometimes,rarely,never,chance,e
4517,60180,0.63,0.29,0.05,0.0,0.03,0.55,4.44
4518,60622,0.68,0.2,0.09,0.0,0.03,0.55,4.44
4519,60069,0.78,0.09,0.04,0.02,0.07,0.52,4.39
4520,60045,0.8,0.1,0.07,0.0,0.03,0.64,4.58
4521,60646,0.68,0.2,0.05,0.02,0.06,0.48,4.32
4522,60559,0.74,0.14,0.1,0.02,0.0,0.61,4.53
4523,60521,0.77,0.15,0.06,0.01,0.0,0.69,4.64
4524,60084,0.58,0.26,0.15,0.01,0.0,0.49,4.34
4525,60614,0.62,0.21,0.08,0.05,0.04,0.42,4.2
4526,60010,0.76,0.14,0.08,0.02,0.0,0.65,4.58
4527,60015,0.76,0.07,0.15,0.0,0.01,0.58,4.48
4528,60565,0.79,0.15,0.05,0.01,0.0,0.72,4.68
4529,60517,0.8,0.17,0.04,0.0,0.0,0.76,4.74
4530,60617,0.74,0.16,0.08,0.01,0.03,0.59,4.5
4531,60040,0.91,0.06,0.03,0.0,0.0,0.86,4.86
4532,60035,0.92,0.06,0.02,0.0,0.0,0.88,4.87
4533,"61739,60921",0.57,0.21,0.16,0.05,0.02,0.38,4.12
4534,61764,0.49,0.23,0.07,0.19,0.02,0.23,3.73
4535,61743,0.55,0.16,0.09,0.17,0.04,0.23,3.74
4536,62274,0.38,0.4,0.1,0.08,0.05,0.26,3.82
4537,62832,0.41,0.28,0.12,0.12,0.07,0.19,3.59
4538,62888,0.4,0.27,0.12,0.14,0.07,0.17,3.52
4540,62246,0.54,0.23,0.11,0.06,0.07,0.29,3.91
4541,60603,0.73,0.12,0.12,0.02,0.0,0.57,4.47
4542,60632,0.62,0.21,0.13,0.01,0.04,0.44,4.24
4543,60605,0.75,0.15,0.08,0.01,0.0,0.65,4.59
4544,60636,0.62,0.08,0.21,0.06,0.02,0.34,4.02
4545,62930,0.44,0.22,0.09,0.11,0.14,0.15,3.43
4546,62917,0.48,0.19,0.12,0.1,0.11,0.19,3.57
4547,62946,0.48,0.2,0.11,0.1,0.11,0.19,3.58
4548,60083,0.68,0.19,0.06,0.05,0.02,0.51,4.37
4549,60420,0.48,0.27,0.07,0.13,0.05,0.25,3.79
4550,60462,0.68,0.24,0.06,0.0,0.01,0.62,4.54
4551,60477,0.72,0.14,0.1,0.02,0.01,0.55,4.44
4552,60471,0.74,0.12,0.06,0.02,0.06,0.5,4.35
4553,60109,0.77,0.12,0.05,0.0,0.07,0.53,4.41
4554,"62962,62969",0.38,0.27,0.14,0.09,0.11,0.15,3.43
4555,"62990,62988,62957",0.39,0.28,0.14,0.1,0.09,0.17,3.52
4556,61071,0.71,0.19,0.05,0.05,0.01,0.56,4.45
4557,61252,0.5,0.28,0.03,0.11,0.08,0.26,3.82
4558,60120,0.65,0.17,0.08,0.03,0.06,0.4,4.17
4559,62523,0.55,0.29,0.09,0.06,0.02,0.41,4.18
4560,60408,0.58,0.21,0.05,0.06,0.1,0.31,3.95
4561,60119,0.74,0.18,0.03,0.05,0.0,0.61,4.53
4562,61931,0.39,0.22,0.24,0.04,0.11,0.16,3.47
4563,60964,0.45,0.24,0.12,0.15,0.05,0.2,3.61
4564,61938,0.4,0.22,0.23,0.04,0.1,0.17,3.5
4565,60502,0.67,0.23,0.02,0.03,0.04,0.51,4.37
4566,62428,0.44,0.2,0.15,0.1,0.11,0.16,3.48
4567,62468,0.43,0.21,0.19,0.07,0.1,0.18,3.54
4568,62447,0.41,0.22,0.22,0.06,0.09,0.18,3.56
4569,60505,0.67,0.22,0.03,0.07,0.02,0.5,4.35
4570,60152,0.66,0.3,0.02,0.0,0.02,0.62,4.54
4571,60012,0.76,0.12,0.08,0.02,0.02,0.59,4.5
4572,60071,0.54,0.18,0.12,0.07,0.09,0.25,3.8
4573,60072,0.71,0.2,0.03,0.01,0.04,0.57,4.46
4574,60051,0.73,0.19,0.03,0.0,0.05,0.59,4.5
4575,60014,0.78,0.11,0.08,0.02,0.02,0.6,4.52
4576,60142,0.76,0.18,0.04,0.01,0.01,0.68,4.63
4577,60013,0.73,0.18,0.08,0.01,0.0,0.64,4.58
4578,60081,0.71,0.2,0.03,0.03,0.03,0.55,4.44
4579,60097,0.69,0.21,0.06,0.01,0.04,0.54,4.42
4580,60050,0.71,0.2,0.04,0.0,0.05,0.57,4.46
4581,60021,0.75,0.17,0.07,0.01,0.0,0.67,4.61
4582,60042,0.67,0.19,0.13,0.0,0.01,0.56,4.45
4583,60098,0.55,0.25,0.14,0.0,0.07,0.36,4.07
4584,60203,0.8,0.14,0.04,0.0,0.02,0.71,4.67
4585,60076,0.81,0.13,0.03,0.0,0.02,0.71,4.66
4586,60077,0.79,0.13,0.01,0.0,0.07,0.59,4.51
4587,60712,0.82,0.1,0.04,0.0,0.03,0.66,4.61
4588,60192,0.76,0.09,0.09,0.02,0.04,0.53,4.4
4589,60090,0.76,0.17,0.02,0.0,0.05,0.6,4.52
4590,60480,0.69,0.23,0.04,0.05,0.0,0.58,4.49
4591,60016,0.74,0.13,0.1,0.0,0.03,0.58,4.48
4592,60458,0.68,0.23,0.05,0.03,0.01,0.59,4.5
4593,60467,0.54,0.36,0.08,0.0,0.01,0.51,4.38
4594,60439,0.82,0.12,0.05,0.01,0.0,0.74,4.71
4595,60487,0.75,0.1,0.12,0.03,0.0,0.58,4.48
4596,60642,0.68,0.08,0.22,0.01,0.01,0.48,4.31
4597,60608,0.85,0.11,0.03,0.0,0.0,0.8,4.78
4598,60609,0.6,0.28,0.02,0.04,0.06,0.43,4.23
4599,60201,0.82,0.12,0.03,0.0,0.02,0.72,4.68
4600,62417,0.26,0.28,0.1,0.16,0.2,0.06,2.84
4601,62439,0.27,0.27,0.09,0.16,0.2,0.06,2.84
4602,62339,0.37,0.2,0.15,0.12,0.16,0.1,3.15
4603,62347,0.36,0.18,0.19,0.09,0.18,0.09,3.11
4604,"62351,62349",0.34,0.2,0.17,0.11,0.17,0.09,3.06
4605,62360,0.35,0.18,0.2,0.09,0.18,0.09,3.06
4606,60618,0.76,0.22,0.02,0.01,0.0,0.74,4.71
4607,60647,0.52,0.35,0.11,0.03,0.0,0.46,4.27
4608,60651,0.74,0.1,0.1,0.0,0.05,0.52,4.39
4609,62918,0.47,0.19,0.14,0.11,0.09,0.19,3.58
4610,62565,0.45,0.25,0.18,0.04,0.08,0.24,3.75
4611,62463,0.42,0.23,0.23,0.05,0.08,0.2,3.62
4612,62301,0.35,0.19,0.19,0.09,0.18,0.09,3.06
4613,62366,0.3,0.22,0.28,0.09,0.12,0.1,3.15
4614,62355,0.37,0.23,0.22,0.06,0.11,0.15,3.4
4615,62340,0.4,0.19,0.17,0.08,0.16,0.12,3.26
