state,municipality,description,refs,size,date,violence,n_casualties,property_damage&looting,police_repression,arrests ,curfew,checked,checker,url,Notes
Alabama,Anniston,A crowd protested peacefully along Quintard Avenue on June 1 and 2.[3],https://www.annistonstar.com/news/anniston/local-protests-continue-after-george-floyd-s-death/article_d2ff18e2-a456-11ea-962e-cfb98489f7d4.html,Unknown,01/06,0,0,0,0,0,0,1,Joan,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Anniston,A crowd protested peacefully along Quintard Avenue on June 1 and 2.[3],https://www.annistonstar.com/news/anniston/local-protests-continue-after-george-floyd-s-death/article_d2ff18e2-a456-11ea-962e-cfb98489f7d4.html,Unknown,02/06,0,0,0,0,0,0,1,Joan,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Ashland,A crowd protested peacefully in front of the Clay County courthouse on June 2.[4],https://www.wbrc.com/2020/06/02/peaceful-protest-held-ashland/,Unknown,02/06,0,0,0,0,0,0,1,Joan,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Auburn,Hundreds of demonstrators held a largely peaceful protest on May 31 in downtown Auburn at Toomer's Corner.[5],https://www.wsfa.com/2020/05/31/hundreds-gather-auburn-call-justice-racial-equality/,100,31/05,0,0,0,0,0,0,1,Joan,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Birmingham,"Police said the overnight riots resulted in burglaries at 14 businesses with another 13 businesses that had significant damage, while firefighters responded to more than 22 fires including five at commercial buildings. There were also three house fires linked to the rioting, as well as multiple vehicle and dumpster fires, according to authorities. On June 1, the mayor declared a curfew and an indefinite state of emergency for the city and pledged to remove the Confederate monument at Linn Park.[8][9] The monument was partially removed by city authorities on June 2.[10] 2 journalists were injured.",https://www.al.com/news/2020/06/watch-live-birmingham-officials-discuss-night-of-protests-riots.html https://www.al.com/news/2020/06/the-ugly-aftermath-of-birminghams-night-of-chaos.html https://patch.com/alabama/birmingham-al/linn-park-confederate-monument-removed-city,1000,31/05,1,2,1,0,0,1,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Dothan,"On May 31, a large crowd gathered peacefully at the Houston County Courthouse, holding signs, chanting, and listening to speakers.[11]",https://www.dothanfirst.com/news/happening-now-black-lives-matter-protest-in-front-of-the-houston-county-courthouse/,Unknown,31/05,0,0,0,0,0,0,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Hoover,At least 100 protesters attended a march along U.S. Route 31 to the Hoover Municipal complex on May 30; 20 people were arrested.[6],https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html,100,30/05,0,0,0,0,20,0,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Huntsville,"Protesters marched through downtown on May 30.[6] On June 1, a protest began at 3:00Ã¥ÃŠpm with speakers, music and an eight-minute moment of silence at the Madison County Courthouse; over 1,000 people joined the protest.[12] The white mayor and a black city councilman asked people to ""protest responsibly and peacefully."" The mayor ""took a knee"" and begged the protesters to leave in a responsible manner. The protest officially ended at 8:00Ã¥ÃŠpm,[12] and police had asked they disperse starting at 6:00Ã¥ÃŠpm, but over one hundred refused to leave the area.[13] An activist leader replied, ""It's not about black response. It's about privilege response."" Police fired tear gas to disperse the crowd.[12] Two people were arrested at the protest. One was charged with carrying a firearm at a demonstration.[14]",https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://whnt.com/news/huntsville/huntsville-police-chief-reviews-mondays-protest/ https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html,1000,30/05,0,0,0,0,0,0,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Huntsville,"Protesters marched through downtown on May 30.[6] On June 1, a protest began at 3:00Ã¥ÃŠpm with speakers, music and an eight-minute moment of silence at the Madison County Courthouse; over 1,000 people joined the protest.[12] The white mayor and a black city councilman asked people to ""protest responsibly and peacefully."" The mayor ""took a knee"" and begged the protesters to leave in a responsible manner. The protest officially ended at 8:00Ã¥ÃŠpm,[12] and police had asked they disperse starting at 6:00Ã¥ÃŠpm, but over one hundred refused to leave the area.[13] An activist leader replied, ""It's not about black response. It's about privilege response."" Police fired tear gas to disperse the crowd.[12] Two people were arrested at the protest. One was charged with carrying a firearm at a demonstration.[14]",https://www.al.com/news/birmingham/2020/05/peaceful-protests-for-george-floyd-spread-across-alabama.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://whnt.com/news/huntsville/huntsville-police-chief-reviews-mondays-protest/ https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html https://www.al.com/news/2020/06/george-floyd-protest-in-huntsville-ends-in-police-firing-teargas-as-crowd-refused-to-disperse.html,1000,01/06,0,0,0,1,0,0,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
Alabama,Jacksonville,A group protested downtown on June 1.[15],https://www.firstcoastnews.com/article/news/local/protest-planned-in-downtown-jacksonville-monday/77-28e02e7e-1587-4eed-9db4-a5bfbb3ab41d,Unknown,01/06,0,0,0,0,0,0,1,Diego,https://en.wikipedia.org/wiki/George_Floyd_protests_in_Alabama,
